"!#TEXT#!"," 221723!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297818","          72.97#$#font-bold=true#$#font-size=10#$#column-width=15","          11.67#$#font-bold=true#$#font-size=10#$#column-width=15","          84.64#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221724!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","","          12.57#$#font-bold=true#$#font-size=10#$#column-width=15","           2.01#$#font-bold=true#$#font-size=10#$#column-width=15","          14.58#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221725!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","","          12.57#$#font-bold=true#$#font-size=10#$#column-width=15","           2.01#$#font-bold=true#$#font-size=10#$#column-width=15","          14.58#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221726!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297820","         459.02#$#font-bold=true#$#font-size=10#$#column-width=15","          73.44#$#font-bold=true#$#font-size=10#$#column-width=15","         532.46#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221727!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297810","        3840.92#$#font-bold=true#$#font-size=10#$#column-width=15","         614.52#$#font-bold=true#$#font-size=10#$#column-width=15","        4455.44#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221728!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 296626","         986.17#$#font-bold=true#$#font-size=10#$#column-width=15","         157.77#$#font-bold=true#$#font-size=10#$#column-width=15","        1143.94#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221729!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297803","        1455.88#$#font-bold=true#$#font-size=10#$#column-width=15","         232.92#$#font-bold=true#$#font-size=10#$#column-width=15","        1688.80#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221730!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297464","        3066.87#$#font-bold=true#$#font-size=10#$#column-width=15","         490.68#$#font-bold=true#$#font-size=10#$#column-width=15","        3557.55#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221731!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","Quote # : 297826","         106.63#$#font-bold=true#$#font-size=10#$#column-width=15","          17.06#$#font-bold=true#$#font-size=10#$#column-width=15","         123.69#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"!#TEXT#!"," 221732!#TEXT#!"," 1/02/2020!#TEXT#!","C5","CASH CUSTOMER 5","","          25.14#$#font-bold=true#$#font-size=10#$#column-width=15","           4.02#$#font-bold=true#$#font-size=10#$#column-width=15","          29.16#$#font-bold=true#$#font-size=10#$#column-width=15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
