"2022  May#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-merge=1","","","Monthly Area Product Sales Summary#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-horizontal-align=Centre#$#column-merge=2","","","","",""," 6/06/2022#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-horizontal-align=Right",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","1#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","3080  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","MC CAT CRAFT CHIP 10MM 6*2.5KG#$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","CHIP  #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","        75.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","2#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","1025  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","FRESH GRILLERS                #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","       161.79#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","2#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1178  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","RAINBOW FRESH FILLET          #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","       130.85#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","2#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","1354  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","TIZER STRIPS ORG 6*1KG        #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","CRUMB #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","         6.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","2#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1362  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","TIZER STRIPS H&S 6*1KG        #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","CRUMB #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","         6.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","2#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","3080  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","MC CAT CRAFT CHIP 10MM 6*2.5KG#$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","CHIP  #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","        45.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","3#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1025  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","FRESH GRILLERS                #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","       301.17#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","3#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","1178  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","RAINBOW FRESH FILLET          #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","       148.85#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","3#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","3025  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","MC CHIP 7MM 4*2.5KG           #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","CHIPS #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","        50.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","3#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","3080  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","MC CAT CRAFT CHIP 10MM 6*2.5KG#$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","CHIP  #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","        45.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
